Lambda (nm),transmission
476.5,0.00061185
477,0.000323517
477.5,0.000142469
478,0.000136809
478.5,0.000189737
479,0.000185456
479.5,0.000175637
480,0.00013163
480.5,0.000139989
481,0.00018497
481.5,0.000190886
482,0.000117997
482.5,9.5E-05
483,9.5E-05
483.5,9.5E-05
484,9.5E-05
484.5,9.5E-05
485,0.000215647
485.5,0.000410296
486,0.000425894
486.5,0.000273242
487,0.000183151
487.5,0.000204296
488,0.000248994
488.5,0.000275058
489,0.000218494
489.5,0.000281861
490,0.000454022
490.5,0.000667648
491,0.00066152
491.5,0.000398104
492,0.000258087
492.5,0.000275036
493,0.000279537
493.5,0.000198703
494,0.000114046
494.5,9.5E-05
495,9.5E-05
495.5,9.5E-05
496,9.5E-05
496.5,0.000190022
497,0.000454351
497.5,0.000640401
498,0.000461626
498.5,0.000270964
499,0.000282603
499.5,0.000301205
500,0.00023598
500.5,0.00014956
501,9.5E-05
501.5,9.5E-05
502,9.5E-05
502.5,9.59438E-05
503,0.000207872
503.5,0.000444663
504,0.000571024
504.5,0.000539988
505,0.000628175
505.5,0.000848591
506,0.000961455
506.5,0.000765703
507,0.000471105
507.5,0.000352363
508,0.000255482
508.5,0.000146742
509,9.5E-05
509.5,9.5E-05
510,9.5E-05
510.5,9.5E-05
511,9.5E-05
511.5,9.5E-05
512,9.5E-05
512.5,0.000232554
513,0.000250091
513.5,0.000117875
514,9.5E-05
514.5,9.5E-05
515,9.5E-05
515.5,9.5E-05
516,9.5E-05
516.5,9.5E-05
517,9.5E-05
517.5,9.5E-05
518,9.5E-05
518.5,0.000152522
519,0.000170826
519.5,0.000200089
520,0.000177348
520.5,0.000131537
521,9.61729E-05
521.5,9.5E-05
522,9.5E-05
522.5,9.5E-05
523,0.00010875
523.5,0.000155739
524,0.000250954
524.5,0.000461987
525,0.000828435
525.5,0.00130067
526,0.00164624
526.5,0.00181276
527,0.00178797
527.5,0.00164878
528,0.00129085
528.5,0.0008218
529,0.000444591
529.5,0.000246955
530,0.000170593
530.5,0.000153138
531,0.000131786
531.5,0.000172227
532,0.00026397
532.5,0.000371325
533,0.000468505
533.5,0.000473045
534,0.000429337
534.5,0.000483126
535,0.000581439
535.5,0.000660047
536,0.000603667
536.5,0.00039465
537,0.000261987
537.5,0.000204017
538,0.000221188
538.5,0.000252937
539,0.000228838
539.5,0.000154507
540,9.5E-05
540.5,9.5E-05
541,9.5E-05
541.5,9.5E-05
542,9.5E-05
542.5,9.5E-05
543,9.67796E-05
543.5,0.000131331
544,0.000153656
544.5,0.00010784
545,9.5E-05
545.5,9.5E-05
546,9.5E-05
546.5,9.5E-05
547,9.5E-05
547.5,9.5E-05
548,9.5E-05
548.5,0.000111305
549,0.000221485
549.5,0.000516788
550,0.00101259
550.5,0.00201076
551,0.00289691
551.5,0.00333514
552,0.00278092
552.5,0.00184388
553,0.00107468
553.5,0.000557689
554,0.000349904
554.5,0.000248537
555,0.00017206
555.5,0.000123923
556,0.000110572
556.5,9.5E-05
557,9.5E-05
557.5,9.5E-05
558,9.5E-05
558.5,9.5E-05
559,9.5E-05
559.5,0.000159717
560,0.000316687
560.5,0.000324222
561,0.000178844
561.5,9.5E-05
562,9.5E-05
562.5,9.5E-05
563,9.5E-05
563.5,9.5E-05
564,9.5E-05
564.5,9.5E-05
565,9.5E-05
565.5,9.5E-05
566,9.5E-05
566.5,9.5E-05
567,9.95106E-05
567.5,0.000148783
568,0.000158308
568.5,0.000100293
569,9.5E-05
569.5,9.5E-05
570,9.5E-05
570.5,0.00010801
571,0.000125531
571.5,0.000116176
572,9.64766E-05
572.5,9.5E-05
573,9.5E-05
573.5,9.5E-05
574,9.5E-05
574.5,9.5E-05
575,9.5E-05
575.5,9.5E-05
576,9.5E-05
576.5,9.5E-05
577,9.5E-05
577.5,9.5E-05
578,9.61359E-05
578.5,0.000178249
579,0.000496232
579.5,0.000957622
580,0.00106723
580.5,0.000751677
581,0.000367894
581.5,0.000228524
582,0.000182321
582.5,0.000203533
583,0.000189846
583.5,0.00021501
584,0.000231915
584.5,0.000270002
585,0.000225296
585.5,0.000169857
586,0.00011029
586.5,9.5E-05
587,9.5E-05
587.5,9.5E-05
588,9.5E-05
588.5,9.5E-05
589,9.5E-05
589.5,9.5E-05
590,9.5E-05
590.5,9.5E-05
591,9.5E-05
591.5,9.5E-05
592,9.5E-05
592.5,9.5E-05
593,9.5E-05
593.5,9.5E-05
594,9.5E-05
594.5,9.5E-05
595,9.5E-05
595.5,9.5E-05
596,9.5E-05
596.5,9.5E-05
597,9.5E-05
597.5,0.000148411
598,0.000331253
598.5,0.000626646
599,0.00106867
599.5,0.0013368
600,0.00116548
600.5,0.00085993
601,0.000623586
601.5,0.000499186
602,0.00045011
602.5,0.000441825
603,0.00048179
603.5,0.000506303
604,0.000498124
604.5,0.000443577
605,0.000341506
605.5,0.00024977
606,0.000209622
606.5,0.000190416
607,0.000180654
607.5,0.000178307
608,0.000173925
608.5,0.00014237
609,0.000120122
609.5,9.5E-05
610,9.5E-05
610.5,9.5E-05
611,9.5E-05
611.5,9.5E-05
612,9.5E-05
612.5,9.5E-05
613,9.5E-05
613.5,9.5E-05
614,9.5E-05
614.5,0.000117379
615,0.000212559
615.5,0.000318826
616,0.00033936
616.5,0.000294583
617,0.000241372
617.5,0.000196754
618,0.00017082
618.5,0.000193924
619,0.000190528
619.5,0.000162177
620,0.000109958
620.5,9.5E-05
621,9.5E-05
621.5,9.5E-05
622,9.5E-05
622.5,9.5E-05
623,9.5E-05
623.5,9.5E-05
624,9.5E-05
