Lambda (nm),transmission
465,9.5E-05
465.5,9.5E-05
466,9.5E-05
466.5,9.5E-05
467,9.5E-05
467.5,9.5E-05
468,9.5E-05
468.5,9.5E-05
469,9.5E-05
469.5,9.5E-05
470,9.5E-05
470.5,9.5E-05
471,9.5E-05
471.5,9.5E-05
472,9.5E-05
472.5,9.5E-05
473,9.5E-05
473.5,9.5E-05
474,9.5E-05
474.5,9.5E-05
475,9.5E-05
475.5,9.5E-05
476,9.5E-05
476.5,9.5E-05
477,9.5E-05
477.5,9.5E-05
478,9.5E-05
478.5,9.5E-05
479,0.000110159
479.5,0.000151914
480,9.5E-05
480.5,9.5E-05
481,9.5E-05
481.5,9.5E-05
482,9.5E-05
482.5,9.5E-05
483,0.000104224
483.5,0.000168475
484,0.000152472
484.5,9.5E-05
485,9.5E-05
485.5,9.5E-05
486,0.000103775
486.5,0.000294801
487,0.000376098
487.5,0.000220458
488,9.5E-05
488.5,9.5E-05
489,9.5E-05
489.5,9.5E-05
490,9.5E-05
490.5,0.000115569
491,0.000214563
491.5,0.000189311
492,9.67472E-05
492.5,9.5E-05
493,9.5E-05
493.5,9.5E-05
494,9.5E-05
494.5,9.5E-05
495,9.5E-05
495.5,9.5E-05
496,9.5E-05
496.5,9.5E-05
497,9.5E-05
497.5,9.5E-05
498,9.5E-05
498.5,9.5E-05
499,9.5E-05
499.5,9.5E-05
500,9.5E-05
500.5,9.5E-05
501,9.5E-05
501.5,9.5E-05
502,9.5E-05
502.5,9.5E-05
503,9.5E-05
503.5,9.5E-05
504,9.5E-05
504.5,9.5E-05
505,9.5E-05
505.5,9.5E-05
506,9.5E-05
506.5,9.5E-05
507,9.5E-05
507.5,9.5E-05
508,0.000141816
508.5,0.000158609
509,0.000125414
509.5,9.5E-05
510,9.5E-05
510.5,9.5E-05
511,9.5E-05
511.5,0.000111675
512,0.000217165
512.5,0.000294944
513,0.000208921
513.5,0.000107327
514,9.5E-05
514.5,9.5E-05
515,9.5E-05
515.5,9.5E-05
516,9.5E-05
516.5,9.5E-05
517,9.5E-05
517.5,9.5E-05
518,0.000130112
518.5,0.000170189
519,0.000166899
519.5,0.000142008
520,9.5E-05
520.5,9.5E-05
521,9.5E-05
521.5,9.5E-05
522,9.5E-05
522.5,9.5E-05
523,9.5E-05
523.5,9.5E-05
524,9.5E-05
524.5,9.5618E-05
525,0.000145393
525.5,0.000177537
526,0.000166298
526.5,0.000121176
527,9.82641E-05
527.5,9.5E-05
528,9.5E-05
528.5,9.5E-05
529,9.5E-05
529.5,9.5E-05
530,9.5E-05
530.5,9.5E-05
531,9.5E-05
531.5,9.5E-05
532,9.5E-05
532.5,9.5E-05
533,9.5E-05
533.5,9.5E-05
534,0.000102885
534.5,0.000113423
535,0.00012329
535.5,0.000135855
536,0.000122272
536.5,0.000122666
537,0.000117005
537.5,0.000109436
538,0.000103286
538.5,9.5E-05
539,0.000106686
539.5,0.000102403
540,0.000105078
540.5,0.000114556
541,0.000121766
541.5,0.000127145
542,0.000166191
542.5,0.000194007
543,0.000271055
543.5,0.000382327
544,0.000583173
544.5,0.000890851
545,0.00139522
545.5,0.00208682
546,0.00292743
546.5,0.00408555
547,0.00560181
547.5,0.00792958
548,0.0113958
548.5,0.016805599
549,0.025533099
549.5,0.038679701
550,0.0578259
550.5,0.0828068
551,0.113939994
551.5,0.152547995
552,0.199819007
552.5,0.261256006
553,0.34459501
553.5,0.458368985
554,0.613615988
554.5,0.821409002
555,1.086260006
555.5,1.422290038
556,1.823710091
556.5,2.304399945
557,2.864279971
557.5,3.501309827
558,4.255739972
558.5,5.082320049
559,6.026810035
559.5,7.165320218
560,8.460450172
560.5,9.998790175
561,11.90380007
561.5,14.0839994
562,16.71310067
562.5,19.69529986
563,22.95510024
563.5,26.41470134
564,29.93609905
564.5,33.22750032
565,36.28419936
565.5,38.84960115
566,41.06529951
566.5,42.71340072
567,44.31540072
567.5,45.65869868
568,47.03130126
568.5,48.47710133
569,50.15090108
569.5,52.03009844
570,53.87690067
570.5,56.16999865
571,58.39779973
571.5,60.59169769
572,63.04600239
572.5,65.19550085
573,67.50910282
573.5,69.68060136
574,71.74810171
574.5,73.46889973
575,75.25190115
575.5,76.89750195
576,78.39720249
576.5,79.93019819
577,81.35660291
577.5,82.64999986
578,84.03909802
578.5,85.45699716
579,86.72609925
579.5,88.15320134
580,89.32920098
580.5,90.6645
581,91.67690277
581.5,92.74849892
582,93.50889921
582.5,94.22140121
583,94.77859735
583.5,95.25899887
584,95.45450211
584.5,95.83770037
585,96.0202992
585.5,96.23749852
586,96.39689922
586.5,96.73709869
587,96.99670076
587.5,97.22769856
588,97.4897027
588.5,97.67069817
589,97.90859818
589.5,98.02510142
590,98.31650257
590.5,98.25279713
591,98.32530022
591.5,98.59390259
592,98.52749705
592.5,98.51440191
593,98.64100218
593.5,98.69449735
594,98.64029884
594.5,98.64630103
595,98.71069789
595.5,98.66740108
596,98.71519804
596.5,98.75620008
597,98.62970114
597.5,98.53090048
598,98.3537972
598.5,98.38370085
599,98.31939936
599.5,98.30420017
600,98.20269942
600.5,98.23889732
601,98.27520251
601.5,98.31870198
602,98.26999903
602.5,98.42650294
603,98.37710261
603.5,98.35399985
604,97.95380235
604.5,97.80160189
605,97.39410281
605.5,97.17119932
606,96.78429961
606.5,96.45860195
607,96.33229971
607.5,96.06590271
608,96.00870013
608.5,95.81289887
609,95.79939842
609.5,95.69209814
610,95.36089897
610.5,95.08579969
611,94.94240284
611.5,94.3081975
612,94.20269728
612.5,93.76549721
613,93.53020191
613.5,93.43829751
614,93.21309924
614.5,93.32060218
615,93.24229956
615.5,93.15800071
616,93.19459796
616.5,93.06910038
617,93.02099943
617.5,92.59200096
618,92.30459929
618.5,91.91089869
619,91.45309925
619.5,91.21620059
620,91.06850028
620.5,90.74569941
621,90.72870016
621.5,90.62269926
622,90.62780142
622.5,90.62110186
623,90.70270061
623.5,90.7622993
624,90.64180255
624.5,90.56159854
625,90.19320011
625.5,90.18869996
626,89.73399997
626.5,89.27479982
627,88.95210028
627.5,88.6555016
628,88.13390136
628.5,87.73159981
629,87.52390146
629.5,87.14789748
630,86.80070043
630.5,86.77300215
631,86.39069796
631.5,86.20550036
632,85.88089943
632.5,85.67669988
633,85.32459736
633.5,84.96620059
634,84.43059921
634.5,84.12039876
635,83.6139977
635.5,83.11979771
636,82.58290291
636.5,82.0028007
637,81.41790032
637.5,80.80199957
638,80.39820194
638.5,79.91539836
639,79.50890064
639.5,79.01880145
640,78.76939774
640.5,78.49760056
641,78.14030051
641.5,77.82040238
642,77.68329978
642.5,77.36390233
643,77.17589736
643.5,76.79359913
644,76.49999857
644.5,76.15969777
645,75.78120232
645.5,75.72069764
646,75.28709769
646.5,75.05840063
647,74.80130196
647.5,74.82219934
648,74.69149828
648.5,74.66340065
649,74.56150055
649.5,74.56820011
650,74.57749844
650.5,74.47299957
651,74.4156003
651.5,74.19099808
652,73.90099764
652.5,73.65019917
653,73.3174026
653.5,73.01489711
654,72.57739902
654.5,72.24820256
655,71.98709846
655.5,71.64819837
656,71.35109901
656.5,71.12910151
657,70.92509866
657.5,70.70429921
658,70.58060169
658.5,70.28340101
659,70.13350129
659.5,69.85899806
660,69.59519982
660.5,69.35369968
661,69.07010078
661.5,68.71340275
662,68.44769716
662.5,68.17089915
663,67.84480214
663.5,67.58340001
664,67.45070219
664.5,67.24060178
665,67.1266973
665.5,66.98660254
666,66.69710279
666.5,66.55420065
667,66.40359759
667.5,66.02550149
668,65.73719978
668.5,65.37389755
669,64.91990089
669.5,64.3862009
670,63.90010118
670.5,63.37810159
671,62.90670037
671.5,62.34229803
672,61.83379889
672.5,61.41240001
673,60.96220016
673.5,60.47670245
674,60.15040278
674.5,59.84879732
675,59.55759883
675.5,59.14549828
676,58.80979896
676.5,58.57570171
677,58.17260146
677.5,57.85109997
678,57.38610029
678.5,57.00989962
679,56.59070015
679.5,56.05940223
680,55.47329783
680.5,54.87729907
681,54.16640043
681.5,53.50469947
682,52.78540254
682.5,52.05010176
683,51.33709908
683.5,50.63139796
684,50.03409982
