Wavelength (nm),Transmission
354.7958869,1.082432973
359.5981851,0.866346539
364.5761861,0.720488195
369.206496,0.704281713
374.0117658,0.704281713
378.8170357,0.704281713
383.6223055,0.704281713
388.4275754,0.704281713
393.3764783,0.56022409
398.0351433,0.488195278
402.8404132,0.488195278
407.645683,0.488195278
412.4509529,0.488195278
417.2562227,0.488195278
422.0614926,0.488195278
426.8667624,0.488195278
431.6720323,0.488195278
436.4773021,0.488195278
441.282572,0.488195278
446.0428946,0.396358543
450.8901399,0.272108844
455.6954098,0.272108844
460.3262397,0.293717487
464.818309,0.548969588
468.8177786,1.514605842
471.2377485,2.775110044
473.4475313,4.634353741
473.8979325,5.620248099
474.9297133,7.586634654
475.9257593,10.13105242
476.3778321,11.2384954
477.7295928,14.23669468
477.2693478,12.53501401
478.6612268,18.45038015
478.2024676,16.8567427
478.1861232,15.66826731
479.1474743,22.04281713
479.1311299,20.85434174
479.1147854,19.66586635
480.5126078,26.01340536
480.0538487,24.41976791
480.0382471,23.28531413
481.7326223,30.020008
480.981025,28.30932373
480.9646806,27.12084834
482.3491302,32.4959984
481.8903711,30.90236094
482.8026889,33.71148459
483.7090632,36.08843537
483.6934617,34.95398159
485.0730823,39.9779912
484.605408,37.73609444
485.990972,43.19227691
485.530727,41.49059624
486.4638468,45.81232493
486.4475024,44.62384954
487.8300947,49.86394558
487.361306,47.54101641
488.7398122,52.4839936
488.2795672,50.78231293
489.1963426,53.91556623
490.5466175,56.80572229
490.0871154,55.15806323
491.4630214,59.91196479
491.0031478,58.23729492
491.9347818,62.45098039
491.9184373,61.262505
492.832241,64.17967187
493.6531784,66.69707883
494.822847,69.16046419
495.3240274,70.66226491
496.6561006,72.22889156
497.3304332,73.61544618
498.4052544,75.53501401
499.3490353,77.45548219
500.2435228,78.96808723
500.6954098,80.06202481
502.0285973,81.70968387
503.4370683,83.53741497
504.0445373,85.35614246
505.2386731,87.4809924
505.8453991,89.24569828
506.7354289,90.43417367
508.067502,92.00080032
509.8327032,93.29731893
511.6008761,94.80992397
