Lambda (nm),transmission
463,0.012385201
463.5,0.0138645
464,0.015635601
464.5,0.0175915
465,0.0192211
465.5,0.0206631
466,0.0218937
466.5,0.0234647
467,0.025712099
467.5,0.029018501
468,0.033855499
468.5,0.0401661
469,0.0481934
469.5,0.056976802
470,0.067162397
470.5,0.0791709
471,0.093797402
471.5,0.113608001
472,0.143598998
472.5,0.186692004
473,0.248855003
473.5,0.333545008
474,0.436234009
474.5,0.555359991
475,0.680421991
475.5,0.81724599
476,0.983985979
476.5,1.196170039
477,1.491129957
477.5,1.887159981
478,2.397830039
478.5,3.039989993
479,3.763139993
479.5,4.599149898
480,5.647360161
480.5,6.919989735
481,8.642269671
481.5,10.9337002
482,13.66309971
482.5,16.80970043
483,19.94889975
483.5,22.77060002
484,25.40970147
484.5,27.93389857
485,30.63299954
485.5,33.75540078
486,37.0223999
486.5,40.68160057
487,44.24740076
487.5,47.52889872
488,50.97200274
488.5,54.22189832
489,57.59199858
489.5,60.92860103
490,63.84109855
490.5,66.31010175
491,68.28190088
491.5,69.82539892
492,71.20119929
492.5,72.82990217
493,74.8529017
493.5,77.38980055
494,79.96910214
494.5,82.44450092
495,84.64180231
495.5,86.19970083
496,87.48270273
496.5,88.23090196
497,89.13149834
497.5,89.79259729
498,90.65250158
498.5,91.37250185
499,92.16380119
499.5,92.95459986
500,93.77120137
500.5,94.29180026
501,94.64269876
501.5,95.17629743
502,95.60459852
502.5,95.92630267
503,96.23780251
503.5,96.5165019
504,96.80070281
504.5,97.07970023
505,97.22089767
505.5,97.49500155
506,97.68270254
506.5,97.91250229
507,98.00480008
507.5,98.08470011
508,98.42829704
508.5,98.47239852
509,98.63520265
509.5,98.94480109
510,99.02369976
510.5,99.26319718
511,99.31190014
511.5,99.55000281
512,99.37490225
512.5,99.61280227
513,99.28179979
513.5,99.40789938
514,99.46560264
514.5,99.45200086
515,99.36360121
515.5,99.31719899
516,99.57839847
516.5,99.56709743
517,99.5495975
517.5,99.44869876
518,99.53619838
518.5,99.36360121
519,99.32929873
519.5,99.4386971
520,99.28780198
520.5,99.18990135
521,99.16089773
521.5,98.87369871
522,98.60600233
522.5,98.5180974
523,98.25270176
523.5,97.97390103
524,97.96180129
524.5,97.7989018
525,97.83719778
