Lambda (nm),transmission
472.5,68.12289953
473,67.493999
473.5,67.07379818
474,66.2101984
474.5,64.43619728
475,61.37509942
475.5,57.98829794
476,54.52579856
476.5,51.61209702
477,49.87339973
477.5,49.17190075
478,49.23329949
478.5,49.78359938
479,50.53930283
479.5,51.0258019
480,50.90150237
480.5,50.62350035
481,49.96010065
481.5,49.53449965
482,49.41909909
482.5,49.47620034
483,49.80359972
483.5,50.07119775
484,50.17369986
484.5,49.97209907
485,49.19250011
485.5,48.20269942
486,46.94620073
486.5,45.97150087
487,45.70040107
487.5,46.00340128
488,46.95039988
488.5,47.98600078
489,48.39049876
489.5,47.54010141
490,45.59240043
490.5,42.69329906
491,39.85289931
491.5,37.62229979
492,36.57270074
492.5,36.58039868
493,37.22090125
493.5,38.0663991
494,38.44789863
494.5,37.85539865
495,36.1014992
495.5,34.16039944
496,32.35709965
496.5,31.25999868
497,30.75399995
497.5,30.79530001
498,30.89250028
498.5,30.50839901
499,29.43919897
499.5,28.04439962
500,26.6279012
500.5,25.42439997
501,24.84699935
501.5,24.72680062
502,24.82270002
502.5,24.54359978
503,23.79020005
503.5,22.39120007
504,20.64799964
504.5,19.00829971
505,17.8332001
505.5,17.16320068
506,16.99430048
506.5,17.15220064
507,17.29409993
507.5,17.17900038
508,16.57299995
508.5,15.59469998
509,14.51770067
509.5,13.58650029
510,12.9452005
510.5,12.64259964
511,12.6267001
511.5,12.67260015
512,12.66970038
512.5,12.45099977
513,11.9580999
513.5,11.24090031
514,10.46969965
514.5,9.7176902
515,9.094359726
515.5,8.612520248
516,8.178739995
516.5,7.799380273
517,7.466629893
517.5,7.151070237
518,6.873069704
518.5,6.653620303
519,6.422489882
519.5,6.141449884
520,5.805470049
520.5,5.36608994
521,4.887700081
521.5,4.420259967
522,4.000220075
522.5,3.694719821
523,3.510859981
523.5,3.427660093
524,3.432140127
524.5,3.476129845
525,3.478680179
525.5,3.389079869
526,3.157560155
526.5,2.865429968
527,2.554620057
527.5,2.289349958
528,2.115260065
528.5,2.030199952
529,2.03038007
529.5,2.084640041
530,2.156109922
530.5,2.17512995
531,2.09544003
531.5,1.905320026
532,1.669299975
532.5,1.445150003
533,1.26999002
533.5,1.151639968
534,1.098070014
534.5,1.09706996
535,1.144179981
535.5,1.226179954
536,1.306509972
536.5,1.364170015
537,1.342399977
537.5,1.251639985
538,1.11979004
538.5,0.977331959
539,0.856943987
539.5,0.762258004
540,0.693266978
540.5,0.636779005
541,0.591079984
541.5,0.550515996
542,0.506380992
542.5,0.465236977
543,0.424596015
543.5,0.390580995
544,0.364025007
544.5,0.344821997
545,0.333099999
545.5,0.326163997
546,0.320853991
546.5,0.31467001
547,0.304967002
547.5,0.290377997
548,0.271063996
548.5,0.248761009
549,0.227819989
549.5,0.209408998
550,0.196094997
550.5,0.185664999
551,0.179265998
551.5,0.175714004
552,0.173529005
552.5,0.171761995
553,0.167109002
553.5,0.162342004
554,0.154344004
554.5,0.145891996
555,0.135668996
555.5,0.125904998
556,0.117197004
556.5,0.109104998
557,0.102271
557.5,0.096362602
558,0.090203498
558.5,0.085541798
559,0.081489002
559.5,0.077814801
560,0.074030802
560.5,0.0711706
561,0.068466301
561.5,0.065364799
562,0.062194897
562.5,0.058456999
563,0.054394698
563.5,0.050332397
564,0.046976999
564.5,0.043796501
565,0.041187799
565.5,0.039427899
566,0.037916499
566.5,0.037011801
567,0.0367022
567.5,0.035967299
568,0.035350301
568.5,0.0340845
569,0.032405101
569.5,0.030032601
570,0.027230999
570.5,0.024933301
571,0.022780499
571.5,0.0207866
572,0.019699099
572.5,0.0188406
573,0.0182416
573.5,0.017799099
574,0.0173345
574.5,0.0166307
575,0.015843099
575.5,0.0148263
576,0.0137628
576.5,0.0125128
577,0.0115589
577.5,0.0107493
578,0.0101395
578.5,0.00972233
579,0.00960296
579.5,0.00964644
580,0.0095606
580.5,0.00937889
