vot_file,table_name,table_rows,col_index,field_name,datatype,unit,ucd,utype,description
J_ApJ_852_108__0.vot,J/ApJ/852/108/table1,13132,7,Tel,char,,TEL_ID,,Telescope information (2)
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,0,JD,float,d,TIME_DATE,,Julian date; JD-2450000
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,1,Date,char,,TIME_DATE,,UT date of observation
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,2,t-t0,float,d,TIME_INTERVAL,,[25/930] Days since t_0_ (= 2012 June 1)
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,3,Conf,char,,INST_SETUP,,VLA configuration
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,4,l_F4.5GHz,char,,CODE_LIMIT,,Limit flag on F4.5GHz (1)
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,5,F4.5GHz,float,mJy,PHOT_FLUX_RADIO_5G,,[0.1/1.4]? VLA 4.5GHz flux
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,6,e_F4.5GHz,float,mJy,ERROR,,[0.02/0.3]? F4.5GHz uncertainty
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,7,F7.8GHz,float,mJy,PHOT_FLUX_RADIO_7.5G,,[0.1/3]? VLA 7.8GHz flux
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,8,e_F7.8GHz,float,mJy,ERROR,,[0.02/0.2]? F7.8GHz uncertainty
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,9,F13.3GHz,float,mJy,PHOT_FLUX_RADIO_15G,,[0.2/3]? VLA 13.3GHz flux
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,10,e_F13.3GHz,float,mJy,ERROR,,[0.04/0.4]? F13.3GHz uncertainty
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,11,F17.4GHz,float,mJy,PHOT_FLUX_RADIO_15G,,[0.2/4.1]? VLA 17.4GHz flux
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,12,e_F17.4GHz,float,mJy,ERROR,,[0.04/0.5]? F17.4GHz uncertainty
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,13,l_F27.5GHz,char,,CODE_LIMIT,,Limit flag on F27.5GHz (1)
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,14,F27.5GHz,float,mJy,PHOT_FLUX_RADIO_22G,,[0.2/5.7]? VLA 27.5GHz flux
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,15,e_F27.5GHz,float,mJy,ERROR,,[0.1/0.8]? F27.5GHz uncertainty
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,16,l_F36.5GHz,char,,CODE_LIMIT,,Limit flag on F36.5GHz (1)
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,17,F36.5GHz,float,mJy,PHOT_FLUX_RADIO_36G,,[0.3/7]? VLA 36.5GHz flux
J_ApJ_852_108__1.vot,J/ApJ/852/108/table2,21,18,e_F36.5GHz,float,mJy,ERROR,,[0.1/1]? F36.5GHz uncertainty
J_ApJ_852_108__2.vot,J/ApJ/852/108/table3,17,0,Date,char,,TIME_DATE,,UT date of observation
J_ApJ_852_108__2.vot,J/ApJ/852/108/table3,17,1,t-t0,float,d,TIME_INTERVAL,,[3/450] Days since t_0_ (= 2012 June 1)
J_ApJ_852_108__2.vot,J/ApJ/852/108/table3,17,2,Obs,char,,ID_HUMAN,,Observer
J_ApJ_852_108__2.vot,J/ApJ/852/108/table3,17,3,Tel,char,,TEL_ID,,Telescope
J_ApJ_852_108__2.vot,J/ApJ/852/108/table3,17,4,Inst,char,,INST_ID,,Instrument
J_ApJ_852_108__2.vot,J/ApJ/852/108/table3,17,5,u_Disp,char,,CODE_ERROR,,[~] Uncertainty flag on Disp
J_ApJ_852_108__2.vot,J/ApJ/852/108/table3,17,6,Disp,float,0.1 nm,INST_DISPERSION,,Dispersion in Angstroms
J_ApJ_852_108__2.vot,J/ApJ/852/108/table3,17,7,lam1,short,0.1 nm,INST_WAVELENGTH_COVERAGE,,[3000/5620] Minimum wavelength range in Angstroms
J_ApJ_852_108__2.vot,J/ApJ/852/108/table3,17,8,lam2,short,0.1 nm,INST_WAVELENGTH_COVERAGE,,[5420/10000] Maximum wavelength range in Angstroms
J_ApJ_899_162__0.vot,J/ApJ/899/162/fig3a,36,0,MJD,double,d,TIME_DATE,,[58204/58329] Modified Julian Date; JD-2400000.5
J_ApJ_899_162__0.vot,J/ApJ/899/162/fig3a,36,1,Jmag,float,mag,PHOT_MAG_J,,[3.92/6.83] J band ANDICAM/1.3m magnitude
J_ApJ_899_162__0.vot,J/ApJ/899/162/fig3a,36,2,e_Jmag,float,mag,ERROR,,[0.03/0.2] Uncertainty in Jmag
J_ApJ_899_162__0.vot,J/ApJ/899/162/fig3a,36,3,Hmag,float,mag,PHOT_MAG_H,,[3.59/5.97] H band ANDICAM/1.3m magnitude
J_ApJ_899_162__0.vot,J/ApJ/899/162/fig3a,36,4,e_Hmag,float,mag,ERROR,,[0.04/0.4] Uncertainty in Hmag
J_ApJ_899_162__0.vot,J/ApJ/899/162/fig3a,36,5,Kmag,float,mag,PHOT_MAG_K,,[3.31/4.26] K band ANDICAM/1.3m magnitude
J_ApJ_899_162__0.vot,J/ApJ/899/162/fig3a,36,6,e_Kmag,float,mag,ERROR,,[0.05/0.2] Uncertainty in Kmag
J_ApJ_899_162__1.vot,J/ApJ/899/162/fig3b,36,0,MJD,double,d,TIME_DATE,,[58203/58329] Modified Julian Date; JD-2400000.5
J_ApJ_899_162__1.vot,J/ApJ/899/162/fig3b,36,1,Bmag,float,mag,PHOT_JHN_B,,[6.34/10.2] Johnson B band ANDICAM/1.3m magnitude
