band,filter_id,facility,instrument,wavelength_eff,fwhm,mean_overlap,min_overlap,median_overlap,n_low_pairs,is_outlier
B,LCO/WFCCD.B,LCO,WFCCD,4385.2,980.1,0.9612,0.0000,0.9746,1,False
B,TJO/LAIA.B,TJO,LAIA,4403.5,893.8,0.9615,0.0000,0.9772,1,False
B,CTIO/MosaicII.B,CTIO,MosaicII,4360.0,1011.4,0.9617,0.0000,0.9772,1,False
B,KPNO/Mosaic.B,KPNO,Mosaic,4357.3,993.5,0.9617,0.0000,0.9776,1,False
B,OHP/Cam120.B,OHP,Cam120,4404.5,930.5,0.9621,0.0000,0.9790,1,False
B,SAO/SCORPIO.B,SAO,SCORPIO,4363.3,967.9,0.9622,0.0000,0.9778,1,False
B,Liverpool/RATCam.bessel-B,LT,RATCam,4332.7,980.2,0.9623,0.0000,0.9794,1,False
B,TJO/MEIA.B,TJO,MEIA,4380.9,924.5,0.9627,0.0000,0.9791,1,False
B,CTIO/SOI.bessel_B,CTIO,,4317.9,991.5,0.9629,0.0000,0.9818,1,False
B,BOK/90prime.B,BOK,90prime,4306.7,985.4,0.9630,0.0000,0.9829,1,False
B,LCO/CCD3x3.LC-3013,LCO,,4336.2,1013.7,0.9630,0.0000,0.9784,1,False
B,TJO/LAIA.B_filter,TJO,LAIA,4342.8,992.0,0.9630,0.0000,0.9811,1,False
B,TJO/MEIA2.B_filter,TJO,MEIA2,4342.8,992.0,0.9630,0.0000,0.9811,1,False
B,NOT/ALFOSC.Bes_B,NOT,ALFOSC,4319.7,1013.6,0.9631,0.0000,0.9809,1,False
B,McD/DIAFI.B,McDonalds,DIAFI,4318.2,1006.3,0.9632,0.0000,0.9810,1,False
B,LaSilla/EFOSC.ESO639,La Silla,EFOSC,4344.1,1011.2,0.9633,0.0000,0.9803,1,False
B,OHP/Cam120.B_fil,OHP,Cam120,4391.5,957.7,0.9635,0.0000,0.9787,1,False
B,IAC80/TCP.B,IAC80,TCP,4320.0,992.3,0.9636,0.0000,0.9815,1,False
B,Scorpio/Johnson.B,Scorpio,,4364.4,967.9,0.9636,0.0000,0.9804,1,False
B,LCO/e2v.B,LCO,e2v,4395.0,934.7,0.9637,0.0000,0.9801,1,False
B,LCO/CSP2.B,LCO,Swope,4395.0,934.7,0.9637,0.0000,0.9801,1,False
B,LCO/CSP.B,LCO,SITe3,4392.2,949.0,0.9637,0.0000,0.9807,1,False
B,LCO/SITe3.B,LCO,SITe3,4392.2,949.0,0.9637,0.0000,0.9807,1,False
B,IAC80/CAMELOT.B,IAC80,CAMELOT,4335.4,975.6,0.9645,0.0000,0.9812,1,False
B,FLWO/KeplerCam.B_Harris_old,FLWO,KeplerCam,4355.8,970.6,0.9645,0.0000,0.9814,1,False
B,LasCumbres/LasCumbres.Bessel_B,LasCumbres,,4341.2,952.8,0.9648,0.0000,0.9795,1,False
V,VATT/VATT.V_vilnius,VATT,,5442.3,247.3,0.7346,0.6035,0.7408,0,False
V,HCT/HFOSC.Bessell_V,HCT,HFOSC,5696.9,1584.5,0.8622,0.6035,0.8659,0,False
V,Paranal/SPHERE.ZIMPOL_V,Paranal,SPHERE,5524.9,794.6,0.8821,0.7635,0.8767,0,False
V,Misc/AndromedA.Vcb,AndromedA,,5279.6,834.4,0.8983,0.7254,0.9133,0,False
V,TYCHO/TYCHO.V_MvB,TYCHO,,5258.5,1116.4,0.9078,0.6301,0.9281,0,False
V,XMM/OM.V_filter,XMM,OM,5437.8,714.0,0.9090,0.7571,0.9117,0,False
V,CFHT/MOCAM.V,CFHT,MOCAM,5410.7,805.8,0.9097,0.7554,0.9138,0,False
