Nova_Name,SIMBAD_Name,Input_Name,Nova_Aliases,Discovery_Date,Nova_Otypes,is_nova,is_recurrent,Peak_Mag,Filter,Uncertainty
V1014 Sgr,V1014 Sgr,V1014 Sgr,AAVSO 1800-27|AN   22.1911|NOVA Sgr 1901|SV* HV  3312|V1014 Sgr,1901-05-22,No*|V*,True,False,,,False
V382 Sco,V382 Sco,V382 Sco,AAVSO 1745-35B|NOVA Sco 1901|SV* HV  7006|V382 Sco,1901-09-02,No*|V*,True,False,,,False
DM Gem,DM Gem,DM Gem,Gaia DR2 3434744312220014464|AAVSO 0637+30|AN   12.1903|CSI+30-06409|HD  48328|NOVA Gem 1903|DM Gem|HR  2472,1903-03-16,*|CV*|No*|V*,True,False,,,False
V607 Aql,V607 Aql,V607 Aql,TIC 213614688|ATO J293.8564+00.7114|ASASSN-V J193525.56+004241.0|WISEA J193525.56+004240.9|WISE J193525.50+004241.1|AKARI-IRC-V1 J1935255+004239|ZTF J193525.54+004240.8|Gaia DR3 4239545488994881792|2MASS J19352554+0042410|V607 Aql|RAFGL 5400S|NOVA Aql 1904|IRC +00445|IRAS 19328+0035|AN   31.1905|ASAS J193526+0042.7|SV* R   219|Gaia DR2 4239545488994881792,1904-07-06,*|AB*|IR|LP*|LP?|MIR|Mi*|NIR|No*|Opt|V*,True,False,,,False
V1015 Sgr,V1015 Sgr,V1015 Sgr,AAVSO 1802-32|NOVA Sgr 1905|SV* HV  3529|V1015 Sgr,1905-08-18,No*|V*,True,False,,,False
V604 Aql,V604 Aql,V604 Aql,AAVSO 1856-04|AN  104.1905|CSI-04-18594|HD 176779|NOVA Aql 1905|V604 Aql|SV* HV  1175,1905-08-31,*|No*|V*,True,False,,,False
CN Vel,CN Vel,CN Vel,Gaia DR3 5347263871563224192|AN  154.1906|CSI-54-11004|HD  95821|NOVA Vel 1905|SV* HV  1268|CN Vel|USNO-B1.0 0356-00252251|Gaia DR2 5347263871563224192,1905-12-05,*|CV*|No*|V*,True,False,,,False
AR Cir,AR Cir,AR Cir,Gaia DR2 5878160484067755520|AAVSO 1440-59|AN  102.1907|NOVA Cir 1906|SV* HV  2954|AR Cir,1906-02-14,*|CV*|No*|V*,True,False,,,False
V711 Sco,V711 Sco,V711 Sco,TIC 257261181|AAVSO 1747-34|AN   19.1908|NOVA Sco 1906|SV* HV  3061|V711 Sco|2MASS J17540615-3421154,1906-04-24,CV*|NIR|No*|V*,True,False,,,False
VY Aqr,VY Aqr,VY Aqr,TIC 423564048|Gaia DR3 6896767366186700416|SBC9 2427|2MASS J21120925-0849367|AAVSO 2106-09|NOVA Aqr 1907|NOVA Aql 1907|SV* R    88|VY Aqr|PM J21121-0849|Gaia DR2 6896767366186700416,1907-08-12,*|CV*|NIR|No*|PM*|SB*|V*,True,False,,,False
V999 Sgr,V999 Sgr,V999 Sgr,Gaia DR2 4062801636411785600|AAVSO 1753-27|AN   96.1910|CSI-27-17569|HD 163982|NOVA Sgr 1910|SV* HV  3304|V999 Sgr,1910-03-21,*|CV*|No*|V*,True,False,,,False
OY Ara,OY Ara,OY Ara,Gaia DR2 5931112345565292160|AN   98.1910|NOVA Ara 1910|OY Ara|SV* HV  3305,1910-04-04,*|CV*|EB*|No*|V*,True,False,,,False
DI Lac,DI Lac,DI Lac,TIC 428063994|WISEA J223548.50+524259.7|Gaia DR3 2002212087238591488|PLX 5469|AAVSO 2231+52B|AN  137.1910|CSI+52-22338|EM* CDS 1371|GCRV 73344|HD 214239|NAME PKD 2233+5227|NOVA Lac 1910|DI Lac|2MASS J22354848+5242596|PLX 5469.00|KPD 2233+5227|UCAC4 714-100518|WISE J223548.49+524259.4|Gaia DR2 2002212087238591488,1910-12-30,*|CV*|Em*|MIR|NIR|No*|UV|V*,True,False,,,False
UW Per,UW Per,UW Per,AN   21.1912|NOVA Per 1912|UW Per,1912-01-12,CV*|No*|V*,True,False,,,False
DN Gem,DN Gem,DN Gem,TIC 68580394|UCAC4 611-036883|Gaia DR3 889417190756323584|2MASS J06545435+3208280|PLX 1610|AAVSO 0648+32|AN   18.1912|CSI+32-06516|EM* CDS  638|GCRV  4508|HD  50480|NOVA Gem 1912|DN Gem|PLX 1610.00|WEB  6681|Gaia DR2 889417190756323584,1912-03-12,*|CV*|Em*|HS?|NIR|No*|V*|blu,True,False,,,False
V941 Sgr,V941 Sgr,V941 Sgr,TIC 228317409|ASASSN-V J183443.56-293449.3|WISEA J183443.45-293449.0|WISE J183443.45-293449.0|AKARI-IRC-V1 J1834434-293448|OGLE BLG700.23  32045|OGLE BLG-LPV-265126|Gaia DR3 4048189199712152320|NOVA Sgr 1912|ASAS J183444-2934.8|SV* ZI  1430|V941 Sgr|2MASS J18344345-2934491|SV* INN    27|[MM63] 5-4|Gaia DR2 4048189199712152320,1912-06-21,*|LP*|MIR|Mi*|NIR|No*|V*,True,False,,,False
WZ Sge,WZ Sge,WZ Sge,TIC 86408822|3XMM J200736.5+174213|UCAC4 539-122231|Gaia DR3 1809844934461976832|PLX 4778|SBC9 1204|2E  4322|2MASS J20073649+1742147|AAVSO 2003+17|CSI+17-20053  2|EGGR 136|EM* CDS 1133|FB 173|GCRV 70442|Lan  50|NOVA Sge 1913|NOVA Sge 1946|NOVA Sge 1978|UBV   17296|WZ Sge|WD 2003+17|uvby98 620020136|SV* HV  3518|PLX 4778.00|1ES 2005+17.5|1RXS J200736.4+174217|2E 2005.3+1733|WEB 17643|Gaia DR2 1809844934461976832,1913-11-22,*|CV*|Em*|NIR|No*|PM*|SB*|UV|V*|WD*|WD?|X|blu,True,False,,,False
V949 Sgr,V949 Sgr,V949 Sgr,TIC 153643819|WISEA J184103.09-280935.8|ASASSN-V J184103.21-280935.9|AKARI-IRC-V1 J1841030-280935|OGLE BLG755.12  24291|OGLE BLG-LPV-265700|Gaia DR3 4072417724402243712|WISE J184103.08-280935.7|GSC 06870-01383|IRAS 18379-2812|Mis V0508|NOVA Sgr 1914 b|SV* INN    46|SV* ZI  1468|USNO-A2.0 0600-36532866|V949 Sgr|2MASS J18410309-2809357|Gaia DR2 4072417724402243712,1914-07-16,*|IR|LP*|MIR|Mi*|NIR|No*|V*,True,False,,,False
V1012 Sgr,V1012 Sgr,V1012 Sgr,AAVSO 1759-31|NOVA Sgr 1914 c|SV* HV  3531|V1012 Sgr,1914-08-12,No*|V*,True,False,,,False
V840 Oph,V840 Oph,V840 Oph,AAVSO 1648-29|AN    2.1920|NOVA Oph 1917|NOVA Sco 1917|SV* HV  3522|V840 Oph,1917-04-25,No*|V*,True,False,,,False
GI Mon,GI Mon,GI Mon,TIC 5657040|ATO J111.6962-06.6749|Gaia DR3 3054845658802097280|AAVSO 0721-06|AN    2.1918|CSI-06-07243|HD  58756|NOVA Mon 1918|GI Mon|2MASS J07264710-0640297|Gaia DR2 3054845658802097280,1918-02-04,*|CV*|NIR|No*|Opt|Pu*|V*,True,False,,,False
RZ Leo,RZ Leo,RZ Leo,TIC 380576494|1RXS J113723.5+014847|Gaia DR3 3799290858445023488|AN   30.1919|2MASS J11372227+0148584|AAVSO 1132+02|NOVA Leo 1918|RZ Leo|SDSS J113722.24+014858.5|1SDSS J113722.25+014858.6|SDSS J113722.25+014848.6|SDSS J113722.25+014858.6|PM J11373+0148|WD 1134+020|EPIC 201585290|2QZ J113722.2+014857|SDSS J113722.20+014858.7|Gaia DR2 3799290858445023488,1918-03-13,*|CV*|CV?|NIR|No*|Opt|PM*|V*|WD*|X,True,False,,,False
